Morphospecies,Size,Trophic level,Order,Genus,Food_preference,Nest_site,Colony_size,Foraging_style,Foraging_site,Abundance,2016,2019,CR,JE,JW,K,MUL,propzeros_total,propzeros_2016,propzeros_2019,propzeros_JE,propzeros_JW,propzeros_CR,propzeros_MUL,propzeros_K
Formicinae 15,10,Carnivore,Formicidae,Notoncus,General,Soil,Unknown,Unknown,Mixed,4,2,2,1,1,2,0,0,0.98125,0.975,0.9875,0.96875,0.96875,0.96875,1,1
Formicinae 16,0,Omnivore,Formicidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15,13,2,1,3,3,6,2,0.925,0.875,0.975,0.90625,0.90625,0.96875,0.9375,0.90625
Formicinae 17,2.5,Carnivore,Formicidae,Melophorus,General,Soil,Unknown,Unknown,Mixed,5,5,0,0,4,1,0,0,0.975,0.95,1,0.90625,0.96875,1,1,1
Formicinae 18,5,Omnivore,Formicidae,Polyrhachis,General,Mixed,Thousands,Solitary,Mixed,1,1,0,0,1,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
Heteroponerinae 1,0,Omnivore,Formicidae,Heteroponera,General,Soil,Tens,Unknown,Ground,31,25,6,7,2,6,16,0,0.86875,0.8,0.9375,0.9375,0.84375,0.84375,1,0.71875
Heteroponerinae 2,2.5,Omnivore,Formicidae,Heteroponera,General,Soil,Tens,Unknown,Ground,185,157,28,57,6,41,15,66,0.60625,0.3875,0.825,0.90625,0.625,0.40625,0.375,0.71875
Heteroponerinae 3,2.5,Omnivore,Formicidae,Heteroponera,General,Soil,Tens,Unknown,Ground,30,28,2,8,1,3,1,17,0.875,0.775,0.975,0.96875,0.9375,0.875,0.625,0.96875
Heteroponerinae 4,2.5,Omnivore,Formicidae,Heteroponera,General,Soil,Tens,Unknown,Ground,18,3,15,7,3,4,1,3,0.9125,0.9625,0.8625,0.90625,0.90625,0.875,0.90625,0.96875
Heteroponerinae 5,2.5,Omnivore,Formicidae,Heteroponera,General,Soil,Tens,Unknown,Ground,4,2,2,1,1,2,0,0,0.975,0.975,0.975,0.96875,0.9375,0.96875,1,1
Myrmeciinae 1,15,Omnivore,Formicidae,Myrmecia,Specific,Soil,Thousands,Cooperative,Ground,2,0,2,1,1,0,0,0,0.9875,1,0.975,0.96875,1,0.96875,1,1
Myrmicinae 01,0,Omnivore,Formicidae,Meranoplus,General,Soil,Hundreds,Solitary,Ground,305,162,143,77,42,56,11,119,0.3625,0.4125,0.3125,0.40625,0.25,0.1875,0.0625,0.90625
Myrmicinae 02,2.5,Omnivore,Formicidae,Pheidole,General,Mixed,Thousands,Cooperative,Ground,87,32,55,20,26,25,1,15,0.75625,0.7875,0.725,0.625,0.625,0.84375,0.71875,0.96875
Myrmicinae 03,0,Omnivore,Formicidae,Pheidole,General,Mixed,Thousands,Cooperative,Ground,2260,1101,1159,636,258,662,309,395,0.1875,0.225,0.15,0.28125,0.125,0.25,0.0625,0.21875
Myrmicinae 04,0,Omnivore,Formicidae,Solenopsis,General,Soil,Thousands,Cooperative,Ground,295,163,132,7,51,180,52,5,0.70625,0.7375,0.675,0.59375,0.46875,0.9375,0.90625,0.625
Myrmicinae 05,0,Omnivore,Formicidae,Pheidole,General,Mixed,Thousands,Cooperative,Ground,397,286,111,233,82,29,12,41,0.85,0.875,0.825,0.8125,0.71875,0.875,0.96875,0.875
Myrmicinae 06,0,Omnivore,Formicidae,Solenopsis,General,Soil,Thousands,Cooperative,Ground,92,34,58,3,19,20,49,1,0.8375,0.8875,0.7875,0.75,0.8125,0.96875,0.96875,0.6875
Myrmicinae 07,0,Omnivore,Formicidae,Pheidole,General,Mixed,Thousands,Cooperative,Ground,67,57,10,28,9,24,2,4,0.9375,0.9,0.975,0.9375,0.9375,0.9375,0.90625,0.96875
Myrmicinae 08,0,Carnivore,Formicidae,Carebara,Specific,Soil,Thousands,Cooperative,Ground,24,11,13,3,3,13,4,1,0.90625,0.9125,0.9,0.9375,0.75,0.9375,0.96875,0.9375
Myrmicinae 09,5,Omnivore,Formicidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4,1,3,0,1,3,0,0,0.9875,0.9875,0.9875,0.96875,0.96875,1,1,1
Myrmicinae 10,0,Carnivore,Formicidae,Tetramorium,General,Mixed,Thousands,Cooperative,Ground,8,8,0,1,3,2,2,0,0.9625,0.925,1,0.9375,0.96875,0.96875,1,0.9375
Myrmicinae 11,0,Carnivore,Formicidae,Strumigenys,Specific,Soil,Hundreds,Solitary,Ground,15,15,0,1,3,9,1,1,0.93125,0.8625,1,0.9375,0.8125,0.96875,0.96875,0.96875
Ponerinae 1,5,Carnivore,Formicidae,Leptogenys,Specific,Mixed,Thousands,Cooperative,Ground,6,1,5,0,6,0,0,0,0.96875,0.9875,0.95,0.84375,1,1,1,1
